Time(s),P6(Pa),P6.5(Pa),P7(Pa),P7.5(Pa),P8(Pa)
10.23,147387.35094174565,155977.44134335459,235183.98464238495,173159.4345434184,181751.57558885092
30.23,147384.69996749994,155974.51112572366,235176.97690616382,173155.9336181142,181747.78785748966
470.23,147352.2928137884,156595.60350039744,234290.7001519571,175305.01282581425,181480.1297908026
860.23,147341.03701733288,157677.550334138,218572.59861805517,175962.05963653116,177570.22324553455
1360.23,147331.47039283434,149010.11631514528,138376.64948542297,156117.5559225671,164201.39344645682
2740.23,147314.88507114025,140501.05968356392,128184.88114465176,143995.95682890195,153751.3439700032
3000.23,147312.54662141352,139981.02320085163,128182.82137022144,142920.06412282333,152127.81152902998
4000.23,147304.80955778225,138903.10119206802,128176.50178914853,139608.96820573256,147027.1535465775
5000.23,147298.46218985488,138505.7284310802,128171.3269276554,137285.38289134807,143444.15579639078
6000.23,147293.0400721598,138341.31048323933,128166.8998917923,135664.66757424915,140959.52692286536
7000.23,147288.28332777804,138261.83570125184,128163.01157884681,134541.73868080767,139247.05840341267
8000.23,147284.03069191388,138217.01332444284,128159.53216825308,133767.3768457764,138071.07035378562
9000.23,147280.17468950074,138188.61144484475,128156.37500606324,133235.03899741996,137265.2694448328
10000,147276.6398346615,138169.23483568884,128153.47911544968,132869.76166580815,136713.81218939082
